                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0258,                 2.3473,                 1.2359,                0.65132,                0.55432,                0.60167,                0.43746,                0.96429,                  1.638,                 1.2131,             0.00033198,             0.00033198,             0.00033198
                      2,                 1.0152,                 1.5925,                 1.2236,                0.66897,                0.60174,                0.65283,                0.47093,                 1.0097,                 1.5431,                 1.2274,             0.00065982,             0.00065982,             0.00065982
                      3,                 1.0277,                 1.4625,                 1.2263,                0.72366,                0.59944,                0.69281,                0.49534,                 1.0275,                 1.4662,                 1.2579,             0.00098217,             0.00098217,             0.00098217
                      4,                 1.0257,                 1.3625,                 1.2156,                0.72051,                0.62799,                0.69826,                0.50568,                 1.0106,                 1.3492,                 1.2453,             0.00097525,             0.00097525,             0.00097525
                      5,                 1.0151,                 1.2864,                 1.2134,                0.73756,                 0.6789,                0.72579,                0.52452,                0.97575,                 1.2358,                 1.2205,             0.00097525,             0.00097525,             0.00097525
                      6,                 0.9759,                 1.1945,                  1.191,                0.75801,                0.69386,                0.75011,                0.53763,                0.97247,                 1.1977,                 1.2071,               0.000967,               0.000967,               0.000967
                      7,                0.96915,                 1.1431,                 1.1875,                0.75262,                0.71309,                0.76395,                 0.5709,                0.92398,                 1.1317,                 1.1825,             0.00095875,             0.00095875,             0.00095875
                      8,                 0.9476,                 1.0892,                   1.17,                0.77015,                0.72552,                0.77778,                0.57138,                0.94557,                 1.0743,                 1.1821,              0.0009505,              0.0009505,              0.0009505
                      9,                0.93497,                 1.0599,                 1.1648,                0.80369,                0.75128,                0.82262,                0.61477,                0.92583,                 0.9752,                 1.1822,             0.00094225,             0.00094225,             0.00094225
                     10,                0.93357,                 1.0536,                 1.1652,                0.79337,                0.75038,                0.81037,                0.61105,                0.90298,                0.93071,                 1.1521,               0.000934,               0.000934,               0.000934
                     11,                0.91324,                0.99342,                 1.1493,                0.80359,                0.74259,                0.81414,                0.61602,                0.88579,                 0.8989,                 1.1441,             0.00092575,             0.00092575,             0.00092575
                     12,                0.91595,                0.97528,                 1.1518,                0.78121,                0.75433,                0.80489,                0.60961,                0.86292,                0.94363,                 1.1278,              0.0009175,              0.0009175,              0.0009175
                     13,                0.89737,                0.95572,                 1.1399,                0.82323,                0.75261,                0.83084,                0.64386,                0.85565,                0.86631,                 1.1268,             0.00090925,             0.00090925,             0.00090925
                     14,                0.88416,                0.93234,                 1.1435,                0.81906,                0.74926,                0.82121,                 0.6174,                0.87573,                0.91838,                 1.1432,               0.000901,               0.000901,               0.000901
                     15,                0.89817,                0.94595,                 1.1333,                0.81379,                0.76013,                0.82545,                0.63007,                0.87922,                0.88748,                   1.13,             0.00089275,             0.00089275,             0.00089275
                     16,                0.89279,                0.91892,                 1.1384,                0.83246,                0.76885,                0.85186,                0.65746,                0.84342,                0.80363,                 1.1077,              0.0008845,              0.0008845,              0.0008845
                     17,                0.87377,                0.87164,                 1.1247,                0.83021,                0.76931,                0.83014,                0.64593,                0.84064,                 0.8325,                 1.1108,             0.00087625,             0.00087625,             0.00087625
                     18,                0.87196,                0.87642,                 1.1226,                0.83267,                0.77318,                0.84209,                0.65141,                 0.8299,                0.81148,                 1.0953,               0.000868,               0.000868,               0.000868
                     19,                0.85934,                0.85853,                 1.1174,                0.81638,                0.77395,                0.83662,                0.65306,                0.82779,                0.85683,                 1.1021,             0.00085975,             0.00085975,             0.00085975
                     20,                0.85511,                0.85529,                 1.1124,                0.83303,                0.79289,                0.85765,                0.66492,                0.82002,                0.77051,                   1.09,              0.0008515,              0.0008515,              0.0008515
                     21,                0.83981,                 0.8258,                  1.112,                0.81977,                0.78784,                0.83388,                0.64472,                0.84316,                0.81727,                 1.1162,             0.00084325,             0.00084325,             0.00084325
                     22,                0.84298,                0.82422,                 1.1094,                0.82982,                0.76911,                0.84023,                0.66041,                0.80888,                0.78799,                 1.0886,               0.000835,               0.000835,               0.000835
                     23,                0.84171,                0.82587,                 1.1062,                   0.84,                0.79466,                0.86964,                0.68426,                 0.8034,                 0.7383,                 1.0816,             0.00082675,             0.00082675,             0.00082675
